City,Lat,Long,Google Maps Link,Name,Category,List,Closed
Palma Mallorca,39.5717564,2.6497466999999997,https://www.google.com/maps/place/La+Rosa+Vermuteria+%26+Colmado/data=!4m2!3m1!1s0x1297925069431625:0xf6e8871832369bf,La Rosa Vermuteria & Colmado,restaurant,want to go,
Palma Mallorca,39.569091,2.646139,https://www.google.com/maps/search/39.569091,2.646139,OMBU Paseo del Borne,restaurant,want to go,
Balearic Islands,39.710466499999995,2.6232034000000004,https://www.google.com/maps/place/QuitaPenas+Valldemossa/data=!4m2!3m1!1s0x1297ee04295029db:0x98e0cb0b38e60229,QuitaPenas Valldemossa,restaurant,want to go,
Balearic Islands,39.7026824,3.4333,https://www.google.com/maps/place/Restaurante+La+Fragua/data=!4m2!3m1!1s0x12961616698a172d:0xe379767f84ae95c3,Restaurante La Fragua,restaurant,want to go,
Balearic Islands,39.551126499999995,2.6915272,https://www.google.com/maps/place/Wasabi+Blue+-+Restaurante+sushi+japon%C3%A9s/data=!4m2!3m1!1s0x129793f10291716f:0x42506b30d89b573d,Wasabi Blue - Restaurante sushi japonés,restaurant,want to go,
Bang Kho,13.700133099999999,100.4711384,https://www.google.com/maps/place/Gim+Nguan+Fish+Ball/data=!4m2!3m1!1s0x30e299b60af8534b:0x3254144e0b8b6920,Gim Nguan Fish Ball,restaurant,want to go,
Bang Krasaw,13.8651459,100.5356005,https://www.google.com/maps/place/Kang+Pa+Loong+Sanga+-+Thai+Curry+Restaurant/data=!4m2!3m1!1s0x30e29caece4a94ab:0x858f7b5414883297,Kang Pa Loong Sanga - Thai Curry Restaurant,restaurant,want to go,
Bang Lamphu Lang,13.7206262,100.5004215,https://www.google.com/maps/place/Somsak+Claypot+Crab+@+Krung+Thon+Buri+BTS/data=!4m2!3m1!1s0x30e2999a004d83cd:0x8b843a42a6da0359,Somsak Claypot Crab @ Krung Thon Buri BTS,restaurant,want to go,
Bang Rak,13.721810699999999,100.5259933,https://www.google.com/maps/place/Mod+Kaew+Wine+Bar/data=!4m2!3m1!1s0x30e29f4745efb4bf:0xf2d7170b9e472797,Mod Kaew Wine Bar,bar,want to go,
Bang Rak,13.7306835,100.51530989999999,https://www.google.com/maps/place/Tropic+City/data=!4m2!3m1!1s0x30e298d975b1c04d:0x62c1b05b338dd8e9,Tropic City,bar,want to go,
Bangkok,13.732964500000001,100.5132529,https://www.google.com/maps/place/965bkk/data=!4m2!3m1!1s0x30e299cc7a7827cf:0xb29d61933a64398c,965bkk,bakery,favorite,
Bangkok,13.716981700000002,100.5811389,https://www.google.com/maps/place/A+KEEN+HOUSE/data=!4m2!3m1!1s0x30e29f2e9eb75f4b:0xb3b02968aa532f01,A KEEN HOUSE,bakery,favorite,
Bangkok,13.7458973,100.5055033,https://www.google.com/maps/place/Ayatana+Charoen+Krung/data=!4m2!3m1!1s0x30e2993cc75e2579:0x35e9c944a70f8cec,Ayatana Charoen Krung,bakery,favorite,
Bangkok,13.7830626,100.5431579,https://www.google.com/maps/place/DONUT+DISTURB+BANGKOK/data=!4m2!3m1!1s0x30e29dc8288520f3:0x845a3b14e9c3d818,DONUT DISTURB BANGKOK,bakery,favorite,
Bangkok,13.7374099,100.5133056,https://www.google.com/maps/place/KHIRI+Thai+Tea+Flagship+Store/data=!4m2!3m1!1s0x30e2990386f743ff:0xa2a6d42e5fe8a6a,KHIRI Thai Tea Flagship Store,bakery,favorite,
Bangkok,13.726789499999999,100.5308968,https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x30e29fa1ea5c4c37:0x63a9831fb0dc165a,La Cabra Bakery,bakery,favorite,
Bangkok,13.7348473,100.51414749999999,https://www.google.com/maps/place/La+Cabra+Bangkok/data=!4m2!3m1!1s0x30e299d14610bc9d:0xfb373e24ccba3928,La Cabra Bangkok,bakery,favorite,
Bangkok,13.728687500000003,100.5813125,https://www.google.com/maps/place/RISE+COFFEE+-+Thonglor/data=!4m2!3m1!1s0x30e29f18851d83bf:0x33620015ca9be77e,RISE COFFEE - Thonglor,bakery,favorite,
Bangkok,13.739860799999999,100.5141338,https://www.google.com/maps/place/Wallflowers+Cafe/data=!4m2!3m1!1s0x30e2991753e9d7db:0x7f9efe6c46bf5bc0,Wallflowers Cafe,bakery,favorite,
Bangkok,13.7220892,100.5099118,https://www.google.com/maps/place/Midsummer+Night%E2%80%99s+Dream+bar/data=!4m2!3m1!1s0x30e29f970336f13f:0x82203be796ad89f7,Midsummer Night’s Dream bar,bar,favorite,true
Bangkok,13.731107399999999,100.5858854,https://www.google.com/maps/place/BLAQ+LYTE+ROVER/data=!4m2!3m1!1s0x30e29f0020f629d9:0xe58552fc4ee57509,BLAQ LYTE ROVER,club,favorite,
Bangkok,13.709833399999997,100.62319830000001,https://www.google.com/maps/place/Brownstone/data=!4m2!3m1!1s0x311d6021ba16d145:0x50727b255f8eb644,Brownstone,club,favorite,
Bangkok,13.746525199999999,100.4916607,https://www.google.com/maps/place/The+Reclining+Buddha/data=!4m2!3m1!1s0x30e2992eeec3a399:0x171a6b616b0a447f,The Reclining Buddha,experience,favorite,
Bangkok,13.76792,100.5711979,https://www.google.com/maps/place/JODD+FAIRS+Rama+9/data=!4m2!3m1!1s0x30e29fb274407d93:0x2aba451897c0b5f,JODD FAIRS Rama 9,other,favorite,
Bangkok,13.745260700000001,100.55210939999999,https://www.google.com/maps/place/Ad+Lib+Bangkok/data=!4m2!3m1!1s0x30e29ee800259541:0x22a6e1874ab9b316,Ad Lib Bangkok,hotel,favorite,
Bangkok,13.7404725,100.56696679999999,https://www.google.com/maps/place/Soho+House+Bangkok/data=!4m2!3m1!1s0x30e29f625ebd95cd:0xdec7bc7f009bdb20,Soho House Bangkok,hotel,favorite,
Bangkok,13.723410099999997,100.5285794,"https://www.google.com/maps/place/The+Standard,+Bangkok+Mahanakhon/data=!4m2!3m1!1s0x30e29fc0bdc19835:0x37f64e8c876298ce","The Standard, Bangkok Mahanakhon",hotel,favorite,
Bangkok,13.7322349,100.56629489999999,https://www.google.com/maps/place/EmSphere/data=!4m2!3m1!1s0x30e29ff5758b5139:0x40e4e1d1d4e46bc1,EmSphere,restaurant,favorite,
